V,CaMKt,cass,nai,nass,ki,kss,cansr,cajsr,cai,m,hf,hs,j,hsp,jp,mL,hL,hLp,a,iF,iS,ap,iFp,iSp,d,ff,fs,fcaf,fcas,jca,ffp,fcafp,nca,xrf,xrs,xs1,xs2,xk1,Jrelnp,Jrelp
-87.966002,0.003171,0.000072,6.393051,6.393109,145.26514,145.265123,1.355893,1.356169,0.000073,0.007371,0.696863,0.696863,0.696862,0.453552,0.696861,0.00019,0.511762,0.305848,0.001004,0.999551,0.867232,0.000511,0.999551,0.901202,0,1,0.968683,1,1,1,1,1,0.001454,0.000008,0.166071,0.140087,0.000194,0.996769,0,0
-87.965889,0.003176,0.000072,6.392314,6.392371,145.265134,145.265118,1.356355,1.356632,0.000073,0.007371,0.696859,0.696859,0.696858,0.453547,0.696857,0.00019,0.511758,0.305795,0.001004,0.999551,0.867004,0.000511,0.999551,0.900987,0,1,0.968516,1,1,1,1,1,0.001456,0.000008,0.166315,0.140645,0.000194,0.996769,0,0
-87.965978,0.003172,0.000072,6.392905,6.392963,145.265132,145.265116,1.355987,1.356263,0.000073,0.007371,0.696862,0.696862,0.696861,0.453551,0.69686,0.00019,0.511761,0.305837,0.001004,0.999551,0.867187,0.000511,0.999551,0.901159,0,1,0.968649,1,1,1,1,1,0.001454,0.000008,0.16612,0.140199,0.000194,0.996769,0,0
-87.96601,0.003171,0.000072,6.393089,6.393146,145.265151,145.265135,1.355868,1.356144,0.000073,0.007371,0.696863,0.696863,0.696862,0.453552,0.696861,0.00019,0.511763,0.305851,0.001004,0.999551,0.867244,0.000511,0.999551,0.901214,0,1,0.968692,1,1,1,1,1,0.001454,0.000008,0.166058,0.140058,0.000194,0.996769,0,0
-87.965929,0.003174,0.000072,6.392571,6.392628,145.265143,145.265127,1.356196,1.356472,0.000073,0.007371,0.69686,0.69686,0.696859,0.453549,0.696859,0.00019,0.511759,0.305813,0.001004,0.999551,0.867083,0.000511,0.999551,0.901061,0,1,0.968573,1,1,1,1,1,0.001455,0.000008,0.166232,0.140454,0.000194,0.996769,0,0
-87.96582,0.003179,0.000072,6.391852,6.39191,145.265139,145.265123,1.356645,1.356921,0.000073,0.007371,0.696856,0.696856,0.696855,0.453544,0.696855,0.00019,0.511755,0.305761,0.001004,0.999551,0.866859,0.000511,0.999551,0.90085,0,1,0.968409,1,1,1,1,1,0.001456,0.000008,0.166471,0.140998,0.000194,0.996769,0,0
-87.966022,0.003171,0.000072,6.392965,6.393023,145.265283,145.265267,1.355861,1.356137,0.000073,0.007371,0.696863,0.696863,0.696862,0.453552,0.696862,0.00019,0.511763,0.305852,0.001004,0.999551,0.867246,0.000511,0.999551,0.901216,0,1,0.968694,1,1,1,1,1,0.001454,0.000008,0.166056,0.14005,0.000194,0.996769,0,0
-87.96603,0.00317,0.000072,6.393214,6.393272,145.265158,145.265141,1.355787,1.356063,0.000073,0.007371,0.696864,0.696864,0.696863,0.453553,0.696862,0.00019,0.511764,0.30586,0.001004,0.999551,0.867283,0.000511,0.999551,0.901251,0,1,0.968721,1,1,1,1,1,0.001454,0.000008,0.166016,0.139961,0.000194,0.996769,0,0
-87.966042,0.003169,0.000072,6.393294,6.393352,145.26516,145.265143,1.355736,1.356012,0.000073,0.007371,0.696864,0.696864,0.696863,0.453553,0.696862,0.00019,0.511764,0.305866,0.001004,0.999551,0.867308,0.000511,0.999551,0.901274,0,1,0.968739,1,1,1,1,1,0.001454,0.000008,0.165989,0.1399,0.000194,0.996769,0,0
-87.966009,0.003171,0.000072,6.393075,6.393133,145.265158,145.265142,1.355875,1.356151,0.000073,0.007371,0.696863,0.696863,0.696862,0.453552,0.696861,0.00019,0.511763,0.30585,0.001004,0.999551,0.86724,0.000511,0.999551,0.90121,0,1,0.968689,1,1,1,1,1,0.001454,0.000008,0.166062,0.140068,0.000194,0.996769,0,0
