V,CaMKt,cass,nai,nass,ki,kss,cansr,cajsr,cai,m,hf,hs,j,hsp,jp,mL,hL,hLp,a,iF,iS,ap,iFp,iSp,d,ff,fs,fcaf,fcas,jca,ffp,fcafp,nca,xrf,xrs,xs1,xs2,xk1,Jrelnp,Jrelp,
-87.978823,0.019202,0.000071,6.860322,6.860384,145.020124,145.020102,1.556100,1.465917,0.000072,0.007361,0.697307,0.697304,0.697272,0.454060,0.697044,0.000189,0.425723,0.171672,0.001003,0.999552,0.373737,0.000511,0.999552,0.406561,0.000000,1.000000,0.793710,1.000000,0.997321,0.999485,1.000000,1.000000,0.001370,0.000179,0.644373,0.416949,0.000193,0.996766,0.000000,0.000000,0.018406
-87.974501,0.018741,0.000072,6.870398,6.870461,144.997643,144.997621,1.575227,1.493886,0.000073,0.007364,0.697158,0.697155,0.697132,0.453887,0.697008,0.000189,0.437815,0.181892,0.001003,0.999552,0.393892,0.000511,0.999552,0.428793,0.000000,1.000000,0.800675,1.000000,0.997688,0.999573,1.000000,1.000000,0.001429,0.000100,0.627033,0.414667,0.000193,0.996767,0.000000,0.000000,0.021031
-87.976245,0.017813,0.000071,6.865630,6.865693,145.012226,145.012204,1.561459,1.485428,0.000073,0.007363,0.697218,0.697216,0.697196,0.453959,0.697099,0.000189,0.442466,0.186078,0.001003,0.999552,0.402159,0.000511,0.999552,0.437914,0.000000,1.000000,0.804964,1.000000,0.997851,0.999610,1.000000,1.000000,0.001419,0.000079,0.619822,0.410418,0.000193,0.996766,0.000000,0.000000,0.018754
-87.976012,0.017181,0.000072,6.862895,6.862958,145.016625,145.016602,1.559722,1.488943,0.000073,0.007363,0.697210,0.697208,0.697192,0.453951,0.697122,0.000189,0.448297,0.191605,0.001003,0.999552,0.413236,0.000511,0.999552,0.450083,0.000000,1.000000,0.810159,1.000000,0.998049,0.999654,1.000000,1.000000,0.001433,0.000058,0.610177,0.406372,0.000193,0.996766,0.000000,0.000000,0.018289
-87.975451,0.017907,0.000072,6.867885,6.867948,145.005846,145.005824,1.565547,1.489257,0.000073,0.007364,0.697191,0.697188,0.697169,0.453927,0.697072,0.000189,0.442426,0.186048,0.001003,0.999552,0.402065,0.000511,0.999552,0.437815,0.000000,1.000000,0.804293,1.000000,0.997834,0.999606,1.000000,1.000000,0.001428,0.000079,0.619888,0.411813,0.000193,0.996766,0.000000,0.000000,0.019793
-87.971875,0.017000,0.000072,6.874814,6.874878,144.991732,144.991709,1.577820,1.511586,0.000074,0.007366,0.697066,0.697065,0.697051,0.453784,0.697005,0.000189,0.454905,0.198317,0.001003,0.999552,0.426775,0.000511,0.999552,0.464916,0.000000,1.000000,0.814848,1.000000,0.998241,0.999694,1.000000,1.000000,0.001493,0.000040,0.598340,0.404809,0.000193,0.996767,0.000000,0.000000,0.021194
-87.975930,0.016912,0.000072,6.870473,6.870536,145.009603,145.009580,1.555410,1.485556,0.000073,0.007363,0.697207,0.697205,0.697189,0.453948,0.697122,0.000189,0.448796,0.192093,0.001003,0.999552,0.414069,0.000511,0.999552,0.451030,0.000000,1.000000,0.809760,1.000000,0.998040,0.999651,1.000000,1.000000,0.001430,0.000056,0.609373,0.407420,0.000193,0.996766,0.000000,0.000000,0.018357
-87.975888,0.017991,0.000072,6.865066,6.865129,145.010021,145.009998,1.564747,1.487739,0.000073,0.007363,0.697206,0.697203,0.697183,0.453945,0.697082,0.000189,0.441612,0.185297,0.001003,0.999552,0.400611,0.000511,0.999552,0.436207,0.000000,1.000000,0.804058,1.000000,0.997819,0.999603,1.000000,1.000000,0.001422,0.000083,0.621171,0.411492,0.000193,0.996766,0.000000,0.000000,0.019429
-87.973673,0.017691,0.000072,6.883444,6.883507,144.990232,144.990209,1.569382,1.496058,0.000073,0.007365,0.697129,0.697127,0.697109,0.453856,0.697031,0.000189,0.446305,0.189708,0.001003,0.999552,0.409382,0.000511,0.999552,0.445861,0.000000,1.000000,0.807242,1.000000,0.997959,0.999635,1.000000,1.000000,0.001445,0.000064,0.613557,0.409514,0.000193,0.996767,0.000000,0.000000,0.019560
-87.970163,0.016755,0.000073,6.905964,6.906029,144.964989,144.964966,1.585888,1.522494,0.000074,0.007368,0.697007,0.697006,0.696994,0.453716,0.696958,0.000189,0.458966,0.202683,0.001003,0.999552,0.435421,0.000511,0.999552,0.474414,0.000000,1.000000,0.817205,1.000000,0.998336,0.999712,1.000000,1.000000,0.001528,0.000032,0.590653,0.404591,0.000193,0.996768,0.000000,0.000000,0.019086
-87.971818,0.017668,0.000072,6.882937,6.883000,144.981198,144.981175,1.578975,1.507247,0.000073,0.007366,0.697064,0.697063,0.697046,0.453781,0.696979,0.000189,0.448838,0.192180,0.001003,0.999552,0.414302,0.000511,0.999552,0.451262,0.000000,1.000000,0.808453,1.000000,0.998018,0.999646,1.000000,1.000000,0.001473,0.000056,0.609224,0.410484,0.000193,0.996767,0.000000,0.000000,0.021917
-87.974261,0.017691,0.000072,6.876509,6.876572,144.996565,144.996542,1.568103,1.494335,0.000073,0.007365,0.697149,0.697147,0.697129,0.453879,0.697048,0.000189,0.445593,0.189023,0.001003,0.999552,0.408002,0.000511,0.999552,0.444344,0.000000,1.000000,0.806662,1.000000,0.997934,0.999629,1.000000,1.000000,0.001441,0.000067,0.614738,0.410166,0.000193,0.996767,0.000000,0.000000,0.019826
-87.978016,0.019068,0.000071,6.860537,6.860599,145.018129,145.018107,1.560366,1.472817,0.000072,0.007362,0.697279,0.697276,0.697247,0.454028,0.697056,0.000189,0.429367,0.174645,0.001003,0.999552,0.379615,0.000511,0.999552,0.413046,0.000000,1.000000,0.796176,1.000000,0.997447,0.999517,1.000000,1.000000,0.001382,0.000151,0.639351,0.415465,0.000193,0.996766,0.000000,0.000000,0.018683
-87.975090,0.017935,0.000072,6.874118,6.874181,145.000213,145.000191,1.565761,1.489340,0.000073,0.007364,0.697178,0.697176,0.697156,0.453912,0.697059,0.000189,0.442362,0.185993,0.001003,0.999552,0.401940,0.000511,0.999552,0.437683,0.000000,1.000000,0.804106,1.000000,0.997828,0.999605,1.000000,1.000000,0.001427,0.000079,0.620002,0.411853,0.000193,0.996766,0.000000,0.000000,0.019596
-87.980172,0.019176,0.000071,6.856771,6.856832,145.028261,145.028238,1.548971,1.457196,0.000071,0.007360,0.697354,0.697351,0.697316,0.454114,0.697057,0.000189,0.423079,0.169560,0.001003,0.999553,0.369590,0.000511,0.999553,0.401980,0.000000,1.000000,0.792534,1.000000,0.997241,0.999466,1.000000,1.000000,0.001354,0.000202,0.647902,0.416884,0.000193,0.996765,0.000000,0.000000,0.017414
-87.971277,0.017923,0.000072,6.906867,6.906932,144.963346,144.963323,1.586778,1.514211,0.000074,0.007367,0.697046,0.697044,0.697027,0.453759,0.696960,0.000189,0.448770,0.192119,0.001003,0.999552,0.414007,0.000511,0.999552,0.450969,0.000000,1.000000,0.806981,1.000000,0.997978,0.999637,1.000000,1.000000,0.001488,0.000056,0.609439,0.412840,0.000193,0.996767,0.000000,0.000000,0.019350
